LSOA code (2011),LSOA name (2011),Local Authority District code (2019),Local Authority District name (2019),IMD,Index of Multiple Deprivation (IMD) Rank (where 1 is most deprived),Index of Multiple Deprivation (IMD) Decile (where 1 is most deprived 10% of LSOAs),Income Score (rate),Income Rank (where 1 is most deprived),Income Decile (where 1 is most deprived 10% of LSOAs),Employment Score (rate),Employment Rank (where 1 is most deprived),Employment Decile (where 1 is most deprived 10% of LSOAs),"Education, Skills and Training Score","Education, Skills and Training Rank (where 1 is most deprived)","Education, Skills and Training Decile (where 1 is most deprived 10% of LSOAs)",Health Deprivation and Disability Score,Health Deprivation and Disability Rank (where 1 is most deprived),Health Deprivation and Disability Decile (where 1 is most deprived 10% of LSOAs),Crime Score,Crime Rank (where 1 is most deprived),Crime Decile (where 1 is most deprived 10% of LSOAs),Barriers to Housing and Services Score,Barriers to Housing and Services Rank (where 1 is most deprived),Barriers to Housing and Services Decile (where 1 is most deprived 10% of LSOAs),Living Environment Score,Living Environment Rank (where 1 is most deprived),Living Environment Decile (where 1 is most deprived 10% of LSOAs)
E01003592,Newham 022B,E09000025,Newham,34.38 ,6110.00 ,2.00 ,0.20 ,6664.00 ,3.00 ,0.12 ,9858.00 ,4.00 ,15.43 ,17032.00 ,6.00 ,0.56 ,8376.00 ,3.00 ,0.61 ,7604.00 ,3.00 ,47.43 ,638.00 ,1.00 ,37.31 ,5262.00 ,2.00 
E01003593,Newham 027D,E09000025,Newham,32.67 ,6804.00 ,3.00 ,0.22 ,5747.00 ,2.00 ,0.12 ,9148.00 ,3.00 ,17.67 ,15352.00 ,5.00 ,0.30 ,11666.00 ,4.00 ,-0.10 ,18125.00 ,6.00 ,52.71 ,116.00 ,1.00 ,23.80 ,12566.00 ,4.00 
E01003594,Newham 026A,E09000025,Newham,29.21 ,8396.00 ,3.00 ,0.19 ,7294.00 ,3.00 ,0.11 ,10944.00 ,4.00 ,14.90 ,17425.00 ,6.00 ,0.01 ,15834.00 ,5.00 ,0.16 ,14186.00 ,5.00 ,49.32 ,414.00 ,1.00 ,26.61 ,10805.00 ,4.00 
E01003595,Newham 026B,E09000025,Newham,29.76 ,8140.00 ,3.00 ,0.18 ,7798.00 ,3.00 ,0.11 ,11743.00 ,4.00 ,18.51 ,14765.00 ,5.00 ,0.26 ,12236.00 ,4.00 ,-0.15 ,18806.00 ,6.00 ,48.42 ,523.00 ,1.00 ,32.77 ,7315.00 ,3.00 
E01003596,Newham 016B,E09000025,Newham,25.24 ,10626.00 ,4.00 ,0.15 ,10897.00 ,4.00 ,0.07 ,17741.00 ,6.00 ,17.98 ,15146.00 ,5.00 ,0.08 ,14816.00 ,5.00 ,0.15 ,14265.00 ,5.00 ,48.01 ,565.00 ,1.00 ,28.03 ,9934.00 ,4.00 
E01003597,Newham 016C,E09000025,Newham,25.68 ,10384.00 ,4.00 ,0.17 ,8831.00 ,3.00 ,0.08 ,16627.00 ,6.00 ,18.28 ,14934.00 ,5.00 ,-0.29 ,20503.00 ,7.00 ,0.11 ,14915.00 ,5.00 ,48.59 ,503.00 ,1.00 ,27.73 ,10118.00 ,4.00 
E01003598,Newham 021A,E09000025,Newham,31.24 ,7435.00 ,3.00 ,0.23 ,4787.00 ,2.00 ,0.13 ,9111.00 ,3.00 ,18.33 ,14886.00 ,5.00 ,0.05 ,15257.00 ,5.00 ,-0.33 ,21439.00 ,7.00 ,48.80 ,472.00 ,1.00 ,22.13 ,13767.00 ,5.00 
E01003599,Newham 022C,E09000025,Newham,31.15 ,7477.00 ,3.00 ,0.20 ,6616.00 ,3.00 ,0.10 ,12226.00 ,4.00 ,21.49 ,12858.00 ,4.00 ,-0.18 ,18841.00 ,6.00 ,0.55 ,8474.00 ,3.00 ,50.71 ,242.00 ,1.00 ,27.23 ,10402.00 ,4.00 
E01003600,Newham 021B,E09000025,Newham,34.34 ,6130.00 ,2.00 ,0.20 ,6404.00 ,2.00 ,0.13 ,8377.00 ,3.00 ,23.00 ,11903.00 ,4.00 ,0.21 ,12861.00 ,4.00 ,0.64 ,7198.00 ,3.00 ,48.97 ,458.00 ,1.00 ,27.52 ,10251.00 ,4.00 
E01003601,Newham 028A,E09000025,Newham,37.19 ,5153.00 ,2.00 ,0.20 ,6435.00 ,2.00 ,0.13 ,8099.00 ,3.00 ,24.83 ,10925.00 ,4.00 ,0.41 ,10227.00 ,4.00 ,1.00 ,3564.00 ,2.00 ,46.32 ,836.00 ,1.00 ,35.92 ,5841.00 ,2.00 
E01003602,Newham 026C,E09000025,Newham,26.11 ,10115.00 ,4.00 ,0.15 ,10752.00 ,4.00 ,0.08 ,16342.00 ,5.00 ,16.44 ,16238.00 ,5.00 ,0.08 ,14787.00 ,5.00 ,0.46 ,9616.00 ,3.00 ,46.84 ,740.00 ,1.00 ,29.07 ,9342.00 ,3.00 
E01003603,Newham 028B,E09000025,Newham,22.80 ,12180.00 ,4.00 ,0.14 ,11884.00 ,4.00 ,0.06 ,20361.00 ,7.00 ,15.65 ,16862.00 ,6.00 ,-0.31 ,20823.00 ,7.00 ,0.05 ,15918.00 ,5.00 ,45.86 ,911.00 ,1.00 ,34.82 ,6325.00 ,2.00 
E01003604,Newham 031D,E09000025,Newham,35.68 ,5642.00 ,2.00 ,0.20 ,6595.00 ,3.00 ,0.11 ,10873.00 ,4.00 ,21.24 ,13001.00 ,4.00 ,0.32 ,11367.00 ,4.00 ,0.77 ,5700.00 ,2.00 ,49.66 ,368.00 ,1.00 ,41.46 ,3809.00 ,2.00 
E01003605,Newham 028C,E09000025,Newham,29.46 ,8278.00 ,3.00 ,0.17 ,8848.00 ,3.00 ,0.10 ,11850.00 ,4.00 ,22.40 ,12296.00 ,4.00 ,-0.33 ,21128.00 ,7.00 ,0.18 ,13814.00 ,5.00 ,48.54 ,508.00 ,1.00 ,38.21 ,4918.00 ,2.00 
E01003606,Newham 022D,E09000025,Newham,28.55 ,8735.00 ,3.00 ,0.15 ,10877.00 ,4.00 ,0.08 ,15465.00 ,5.00 ,20.55 ,13428.00 ,5.00 ,-0.37 ,21721.00 ,7.00 ,0.95 ,3952.00 ,2.00 ,47.67 ,606.00 ,1.00 ,34.72 ,6362.00 ,2.00 
E01003607,Newham 026D,E09000025,Newham,30.51 ,7786.00 ,3.00 ,0.18 ,7708.00 ,3.00 ,0.11 ,11025.00 ,4.00 ,13.31 ,18773.00 ,6.00 ,-0.02 ,16317.00 ,5.00 ,0.51 ,8918.00 ,3.00 ,50.18 ,299.00 ,1.00 ,31.72 ,7870.00 ,3.00 
E01003608,Newham 028D,E09000025,Newham,23.94 ,11406.00 ,4.00 ,0.10 ,16380.00 ,5.00 ,0.05 ,23839.00 ,8.00 ,11.15 ,20748.00 ,7.00 ,-0.33 ,21145.00 ,7.00 ,0.88 ,4591.00 ,2.00 ,46.23 ,857.00 ,1.00 ,45.65 ,2758.00 ,1.00 
E01003609,Newham 037A,E09000025,Newham,23.04 ,12030.00 ,4.00 ,0.14 ,11157.00 ,4.00 ,0.07 ,17989.00 ,6.00 ,9.49 ,22372.00 ,7.00 ,0.05 ,15175.00 ,5.00 ,0.18 ,13828.00 ,5.00 ,49.62 ,376.00 ,1.00 ,16.03 ,18403.00 ,6.00 
